Culture/Kingdom,Geography,Inspiration / Type
Thar Vornhal Judiciary,Elarion,High Law Dwarven / Byzantine Roman
Kel Varyan Empire,Elarion,Imperial Roman / Venetian / Mageocracy
Aeravae Tidemirror,Frozen Continent (South),Aztec / Mayan / Spiritwater syncretic
Veltharyn Assembly,Elarion,Dwarven Highland / Incan-Mountain mix
Ashkarra (Ruined),Vashkora,Dragonborn / Indo-Persian / Theocratic-Militarist
Selveran Skygrove,Mirror Chain,Fey-Elven / Mesoamerican Vertical
Deepscar Orc Clans,Kerythra,Steppe Horde / Spartan / Mythic Honor
Crimson Veil (Nocthera),Vashkora,Blood-noble Vampiric / Gothic Medieval
The Cindermarked,Vashkora,Fire Cultist / Post-Ashkarra diaspora
Stormcaller Tribes,Iriveth Orre,Norse / Baltic / Runic
Verdant Accord Circles,Multiple,Celtic Druidic / Amazonian
The Coral Dominion,Mirror Chain,Thalassocracy / Polynesian / Spirit-Tide
Shattercoast Fragments,Unknown Continent,Ruined empire / Eldritch-Breakage survivors
Frozen Republics,Frozen Continent,Icelandic Democratic / Icebound sages
Vault-Brokers of the Sealed Hall,Island Chain / Subsurface,Merchant-Crypt Guild / Venetian-Oligarchic
Gloamchain Echo Tribes,Gloamchain Islands,Twilight Nomads / Memory-Oral-Tradition
Trinal Keys Sky-Temples,South of Elarion,Solar Ascetic / Aarakocra-like
Emerald Scatter Wildhalflings,Emerald Isles,Jungle Clans / Trickster Warrior-Hunter
Ashborn Isles Bloodline,Ashborn Atolls,Warlock Remnants / Exile Clans
Unknown Continent Native Cultures,Unknown Continent,Southeast Asian / African kingdom syncretic
The Steppe-Lords of the Vurak,Kerythra,Mongol / Scythian Cavalry-States
The Tower-Kings of Bael Lareth,Iriveth Orre,Feudal Mage-Lords / Moorish & Andalusian
The Lakethrone League,Iriveth Orre,Hanseatic / Coastal Trade Federation
The Forgehost of Tarshem,Elarion,Industrial Guild / Steam-priest dwarves
The Marshborne Clans,Iriveth Orre,Fenland mystics / Witchcraft-oriented
The Godsear Tribes,Kerythra,Sunburnt Nomads / Diviner-Bloodline Clans
The Riverwall Kingdoms,Kerythra,Nile / Indian River-City States
Tide-Fanged Clans,Mirror Chain,Pirate-Hybrid / Sea-reaver Societies
Drow Matriarchies,Hollowdeep – Woundskin,Cruel Hierarchies / Spider-Webbed Gothic
Veinbound Echo Judges,Hollowdeep – Murkmire,Runic Psychosocial / Dwarven Psion
Fungal Choirs (Pale Bloom),Hollowdeep – Murkmire,Bioluminescent Myco-Faith / Choral Memory
Scarborn Troll Clans,Hollowdeep – Embervault,Cultural Regeneration / Oral Battle Lore
Echofold Mind-Spinners,Hollowdeep – Echofold,Psionic Gnomes / Thought Geographers
The Hollowgrove Singers,Hollowdeep – Murkmire,Floral Sentience / Song-Tree Network
The Flame-Scarred (Emberbound),Hollowdeep – Embervault,Pain-Faith Cult / Flame-Atonement
Vaultmarrow Ancients,Hollowdeep – Vaultmarrow,Broken Time-Civilizations / Forgotten Glyph Lords
Blackglass Revenants,Hollowdeep – Vaultmarrow,Emotion-Storm Ghosts / Burnt Crystal Nomads
The Thought Lords,Nameless Dominion,Pre-Weave Eldritch Monarchs
The Glyph-Harvesters,Nameless Dominion,Rune-Flesh Cultists / Sigil Parasites
The Leviathan-Silent,Nameless Dominion,Emotion-Eaters / Deep-Echo Whales
Bleeding Hivebound,Nameless Dominion,Rune-Infected Collectives / Bioglyphic Swarms
